record_id,ph,temperature_c,water_level_percent,ec_nutrient,label
68,6.34,22.73,92.58,2.26,normal
69,6.33,26.04,63.61,2.3,normal
70,6.38,22.56,91.34,1.79,normal
71,6.43,20.73,71.18,2.35,normal
72,5.14,32.85,28.85,0.87,anomaly
73,6.55,30.99,48.39,1.35,warning
74,5.88,21.14,86.65,2.02,normal
75,5.86,25.61,62.55,2.22,normal
76,5.43,30.6,55.44,1.37,warning
77,5.24,16.4,21.15,0.94,anomaly
78,6.14,20.09,76.4,1.46,normal
79,5.88,25.19,86.11,1.98,normal
80,7.05,32.37,8.38,0.98,anomaly
81,6.42,24.22,94.75,1.47,normal
82,6.48,24.18,82.03,2.1,normal
83,6.24,24.67,91.54,1.45,normal
84,6.47,27.12,75.95,2.02,normal
85,5.93,23.71,72.37,1.98,normal
86,6.48,27.89,84.44,1.94,normal
87,6.37,25.48,65.69,2.31,normal
88,5.77,28.34,56.46,1.02,warning
89,6.06,26.48,94.55,1.55,normal
90,6.07,27.76,89.47,2.24,normal
91,6.09,22.19,61.97,2.26,normal
92,5.79,30.21,56.14,1.1,warning
93,5.89,27.63,81.22,1.63,normal
94,6.23,22.87,63.97,2.07,normal
95,6.34,24.16,89.83,1.95,normal
96,6.41,23.23,64.69,1.43,normal
97,5.64,29.89,46.66,1.23,warning
98,6.11,27.23,72.19,1.91,normal
99,5.55,30.41,57.61,1.19,warning
100,6.12,27.84,77.24,1.73,normal
101,5.97,20.61,64.51,1.53,normal
102,5.9,25.13,66.37,1.75,normal
103,6.77,19.14,43.21,1.11,warning
104,5.86,20.97,76.13,1.61,normal
105,6.15,25.52,61.38,2.2,normal
106,5.86,26.99,92.23,1.46,normal
107,6.36,25.99,66.46,1.61,normal
108,6.14,24.95,72.91,1.86,normal
109,5.41,19.31,50.11,1.04,warning
110,6.17,21.94,69.42,1.78,normal
111,6.03,21.69,71.46,1.52,normal
112,5.63,29.49,50.21,1.23,warning
113,5.57,30.71,50.84,1.14,warning
114,7.03,32.16,12.98,0.59,anomaly
115,5.92,27.17,62.81,1.92,normal
116,6.49,20.9,73.92,2.37,normal
117,6.61,30.48,50.58,1.22,warning
118,6.34,21.5,71.33,1.83,normal
119,5.97,20.92,81.37,1.69,normal
120,5.91,23.85,78.64,1.45,normal
121,5.89,20.51,94.65,1.72,normal
122,5.5,29.47,47.82,1.14,warning
123,7.38,33.97,13.62,0.53,anomaly
124,6.84,30.28,43.11,1.06,warning
125,6.71,29.81,55.52,1.17,warning
126,6.12,22.41,86.17,1.9,normal
127,6.43,23.07,79.02,2.31,normal
128,5.88,27.52,81.97,1.73,normal
129,6.36,24.96,78.67,2.29,normal
130,5.46,28.52,50.83,1.3,warning
131,5.53,29.43,47.55,1.31,warning
132,5.96,25.78,85.2,2.04,normal
133,6.18,22.01,72.1,1.58,normal
134,5.14,32.88,26.17,0.75,anomaly
135,5.81,26.98,92.62,1.97,normal
136,6.45,25.66,65.34,1.98,normal
137,6.1,25.89,92.7,2.33,normal
138,5.88,27.88,89.36,1.52,normal
139,7.16,16.76,18.39,0.89,anomaly
140,6.03,23.19,78.81,2.32,normal
141,6.04,25.9,75.83,1.62,normal
142,5.9,21.41,77.44,1.82,normal
143,7.19,15.64,13.52,0.97,anomaly
144,6.09,20.68,94.89,1.9,normal
145,5.85,26.0,67.35,2.3,normal
146,5.93,20.29,76.52,1.96,normal
147,6.34,23.63,78.35,1.84,normal
148,6.19,21.24,66.37,2.26,normal
149,7.04,16.53,12.84,0.85,anomaly
150,5.82,21.78,68.09,2.07,normal
151,5.87,26.4,66.25,2.05,normal
152,5.87,21.95,85.28,2.26,normal
153,5.55,29.04,40.25,1.03,warning
154,5.82,21.45,80.41,1.82,normal
155,6.64,19.57,45.09,1.24,warning
156,6.19,23.49,70.31,2.35,normal
157,6.85,29.47,48.08,1.01,warning
158,6.18,25.07,69.03,1.54,normal
159,5.78,30.08,57.37,1.05,warning
160,5.99,24.43,82.8,2.23,normal
161,5.81,21.1,91.5,2.27,normal
162,6.22,25.32,66.14,2.31,normal
163,6.07,24.15,61.64,1.57,normal
164,6.75,18.13,46.76,1.28,warning
165,6.2,23.81,83.23,2.34,normal
166,6.52,18.31,49.43,1.23,warning
167,6.34,20.85,62.63,2.13,normal
168,6.28,23.48,68.62,2.22,normal
169,6.62,18.2,57.43,1.05,warning
170,7.0,17.78,33.0,0.82,anomaly
171,6.39,22.0,77.13,1.62,normal
172,6.93,34.0,25.61,0.95,anomaly
173,6.29,22.38,92.35,2.37,normal
174,5.08,16.32,9.15,0.79,anomaly
175,5.88,20.62,84.37,1.74,normal
176,5.43,19.02,51.89,1.35,warning
177,5.96,20.2,90.45,1.42,normal
178,5.61,18.13,54.58,1.16,warning
179,6.24,26.99,94.44,2.17,normal
180,6.09,25.9,68.36,1.51,normal
181,6.0,22.37,68.18,1.44,normal
182,6.49,23.42,73.45,2.08,normal
183,6.46,26.29,63.13,1.82,normal
184,5.77,30.26,44.4,1.37,warning
185,6.23,24.1,68.07,1.58,normal
186,5.93,26.24,72.25,1.46,normal
187,7.36,16.52,31.51,0.84,anomaly
188,6.37,21.8,67.83,1.94,normal
189,6.21,20.73,90.71,1.67,normal
190,6.42,27.65,90.17,2.21,normal
191,6.19,20.7,74.3,1.77,normal
192,6.31,23.97,62.84,1.62,normal
193,5.85,26.81,77.33,1.88,normal
194,6.38,22.78,83.73,1.97,normal
195,6.42,26.38,83.05,2.25,normal
196,5.68,19.77,54.3,1.06,warning
197,5.74,18.01,54.13,1.06,warning
198,5.72,18.37,58.64,1.25,warning
199,6.24,24.32,87.29,1.51,normal
200,5.61,18.75,41.95,1.37,warning
201,5.85,22.41,84.79,1.47,normal
202,6.04,24.97,61.6,2.27,normal
203,5.37,16.72,8.69,0.66,anomaly
204,6.34,25.47,75.61,1.67,normal
205,5.05,16.53,14.84,0.54,anomaly
206,6.26,22.19,93.28,1.55,normal
207,6.46,23.36,82.35,1.8,normal
208,6.49,23.27,91.29,1.63,normal
209,5.82,25.21,72.9,2.26,normal
210,6.48,21.48,90.4,2.18,normal
211,5.73,28.95,57.5,1.24,warning
212,5.59,19.15,43.81,1.19,warning
213,6.21,22.15,87.91,1.71,normal
214,5.81,20.58,73.74,1.88,normal
215,6.0,25.56,90.1,2.18,normal
216,6.14,20.84,68.47,2.39,normal
217,6.15,24.95,84.59,1.96,normal
218,6.03,24.14,63.08,1.75,normal
219,5.86,23.18,64.65,1.97,normal
220,6.36,21.6,65.86,1.5,normal
221,6.29,20.25,92.77,1.45,normal
222,6.3,26.97,84.99,2.2,normal
223,6.37,20.64,91.32,1.95,normal
224,5.58,29.37,41.15,1.1,warning
225,6.41,21.75,94.16,1.74,normal
226,6.35,25.27,77.44,1.96,normal
227,5.49,18.94,52.92,1.03,warning
228,5.98,23.7,90.39,2.13,normal
229,6.64,29.56,56.47,1.23,warning
230,6.31,23.89,90.57,2.3,normal
231,5.99,24.74,91.93,1.61,normal
232,6.24,25.86,64.6,2.12,normal
233,7.03,32.3,23.26,0.62,anomaly
234,5.57,19.26,47.43,1.38,warning
235,6.26,22.6,87.07,1.53,normal
236,5.07,16.28,18.45,0.91,anomaly
237,5.97,24.94,84.74,1.57,normal
238,5.83,25.89,83.23,1.87,normal
239,5.71,29.67,45.13,1.02,warning
240,6.46,20.31,64.27,1.85,normal
241,7.16,32.25,37.92,0.5,anomaly
242,5.18,15.74,28.67,0.57,anomaly
243,6.02,25.64,67.06,2.07,normal
244,7.24,15.68,29.47,0.91,anomaly
245,5.2,17.41,8.94,0.96,anomaly
246,6.27,21.73,83.06,1.79,normal
247,5.87,25.26,94.98,1.45,normal
248,5.04,15.26,35.23,0.7,anomaly
249,6.27,26.46,86.68,2.2,normal
250,6.37,20.96,79.06,1.41,normal
251,6.06,23.17,84.34,1.79,normal
252,5.97,22.99,67.95,1.47,normal
253,6.27,24.96,76.22,1.78,normal
254,5.6,19.55,47.58,1.23,warning
255,6.23,26.12,88.45,2.12,normal
256,4.81,17.6,15.55,0.95,anomaly
257,6.45,22.81,63.55,1.89,normal
258,6.0,22.46,88.11,1.94,normal
259,6.23,25.73,69.54,1.81,normal
260,5.93,25.45,66.35,1.93,normal
261,6.73,29.33,55.31,1.21,warning
262,6.24,27.61,81.06,2.22,normal
263,6.59,29.15,57.1,1.14,warning
264,6.35,22.2,88.79,1.82,normal
265,5.87,24.99,75.81,1.99,normal
266,6.32,26.9,67.59,1.5,normal
267,6.25,24.86,79.13,1.63,normal
268,6.22,23.97,94.57,1.54,normal
269,6.08,23.43,85.12,2.09,normal
270,6.96,15.98,10.46,0.54,anomaly
271,5.47,18.65,49.86,1.03,warning
272,6.72,30.07,46.16,1.13,warning
273,6.5,25.29,79.52,2.13,normal
274,5.84,24.5,93.52,1.58,normal
275,5.94,24.29,63.38,1.85,normal
276,6.77,18.9,47.59,1.06,warning
277,5.35,31.37,10.76,0.87,anomaly
278,6.38,26.26,84.81,1.44,normal
279,5.98,22.88,63.07,2.34,normal
280,6.01,23.18,75.65,2.0,normal
281,6.44,23.98,94.73,2.25,normal
282,6.45,20.93,88.61,1.78,normal
283,6.82,18.4,47.66,1.07,warning
284,6.04,27.8,82.43,2.22,normal
285,6.4,27.38,77.05,2.01,normal
286,5.47,30.03,41.3,1.01,warning
287,6.47,24.4,93.8,1.83,normal
288,6.15,23.52,63.7,2.04,normal
289,6.23,25.2,65.32,1.46,normal
290,5.58,19.43,58.69,1.09,warning
291,5.88,22.43,63.54,2.09,normal
292,6.16,27.97,88.49,2.02,normal
293,6.24,24.22,74.91,1.53,normal
294,5.58,19.0,53.94,1.3,warning
295,6.09,23.85,60.67,1.66,normal
296,5.45,18.61,58.54,1.31,warning
297,6.96,32.55,11.04,0.74,anomaly
298,6.03,25.9,76.66,1.78,normal
299,6.12,26.28,91.22,2.36,normal
300,6.78,28.91,40.73,1.35,warning
301,6.25,25.27,91.33,2.04,normal
302,5.85,24.15,65.26,2.14,normal
303,6.28,20.33,62.97,2.12,normal
304,5.85,20.1,93.48,2.14,normal
305,6.01,22.8,87.11,2.06,normal
306,5.92,20.79,83.11,2.16,normal
307,5.81,20.66,93.88,1.7,normal
308,6.66,28.84,54.72,1.25,warning
309,5.83,27.75,87.95,1.69,normal
310,5.16,32.89,11.97,0.67,anomaly
311,4.93,32.23,37.24,0.62,anomaly
312,5.94,27.1,82.6,1.69,normal
313,5.74,29.94,48.75,1.33,warning
314,5.7,18.61,57.81,1.02,warning
315,5.89,25.81,88.62,1.61,normal
316,6.39,25.86,78.98,1.99,normal
317,6.01,24.52,84.11,2.27,normal
318,6.33,21.28,76.15,1.41,normal
319,6.31,27.93,63.47,1.8,normal
320,6.73,29.88,46.75,1.31,warning
321,5.8,26.09,61.24,2.15,normal
322,6.47,22.94,71.44,1.55,normal
323,6.41,27.97,72.89,1.85,normal
324,5.75,19.26,40.06,1.24,warning
325,6.36,20.74,80.59,1.88,normal
326,5.85,24.64,79.65,1.96,normal
327,6.27,26.44,69.44,2.23,normal
328,5.85,20.47,71.7,2.18,normal
329,6.71,18.71,48.25,1.03,warning
330,6.22,25.89,94.94,2.33,normal
331,6.09,25.09,87.5,1.52,normal
332,6.39,23.07,80.02,1.99,normal
333,6.05,22.68,60.92,1.42,normal
334,5.51,19.49,48.16,1.34,warning
335,6.82,30.15,41.53,1.28,warning
336,6.11,25.84,86.79,1.56,normal
337,5.89,26.01,82.99,2.36,normal
338,5.84,22.26,69.16,1.65,normal
339,7.04,33.55,10.03,0.74,anomaly
340,5.84,27.25,64.87,1.93,normal
341,6.04,27.2,60.76,2.06,normal
342,7.37,33.38,30.66,0.98,anomaly
343,6.26,21.58,79.79,1.86,normal
344,5.16,15.06,15.78,0.92,anomaly
345,6.17,20.92,90.1,2.12,normal
346,6.3,24.35,62.86,1.86,normal
347,5.92,27.57,89.75,2.07,normal
348,6.09,25.21,79.09,1.46,normal
349,6.36,23.67,61.82,2.19,normal
350,5.98,21.32,71.56,2.16,normal
351,5.94,27.02,90.79,2.27,normal
352,6.12,27.88,87.02,1.43,normal
353,6.12,27.27,78.85,1.9,normal
354,6.26,26.58,73.31,2.18,normal
355,7.17,16.03,27.67,0.89,anomaly
356,6.44,24.26,65.53,2.1,normal
357,5.52,28.59,42.67,1.08,warning
358,6.43,25.23,65.32,1.84,normal
359,5.86,27.06,88.13,1.91,normal
360,5.05,32.04,35.34,0.71,anomaly
361,5.81,24.48,78.46,2.12,normal
362,5.43,28.96,50.28,1.28,warning
363,6.13,26.57,76.07,1.76,normal
364,6.38,22.68,66.08,2.11,normal
365,6.6,30.25,54.23,1.25,warning
366,6.05,26.73,76.5,2.38,normal
367,5.89,25.41,71.38,2.09,normal
368,5.92,26.85,67.95,2.24,normal
369,6.25,25.55,77.94,1.71,normal
370,5.82,22.43,82.86,2.34,normal
371,5.7,29.99,52.74,1.22,warning
372,6.11,23.68,90.26,1.95,normal
373,6.48,20.89,74.79,1.44,normal
374,6.62,19.34,54.33,1.31,warning
375,6.47,25.81,70.67,2.23,normal
376,6.41,20.9,84.63,1.94,normal
377,5.97,20.1,76.41,1.7,normal
378,6.01,22.4,86.01,1.45,normal
379,7.24,15.99,10.45,0.62,anomaly
380,6.74,19.5,41.21,1.32,warning
381,5.88,20.75,91.84,2.07,normal
382,5.74,28.34,48.26,1.3,warning
383,6.42,23.55,81.25,2.03,normal
384,6.29,21.9,77.93,1.5,normal
385,6.14,25.22,93.27,2.0,normal
386,6.76,19.69,48.98,1.02,warning
387,5.99,27.77,71.6,1.88,normal
388,6.23,22.25,67.24,1.92,normal
389,5.81,21.75,61.29,1.51,normal
390,6.36,24.58,77.94,1.69,normal
391,5.03,17.37,23.73,0.93,anomaly
392,6.29,27.94,64.6,1.67,normal
393,6.1,23.29,91.77,2.11,normal
394,6.02,26.59,93.43,2.22,normal
395,6.25,20.41,69.02,1.46,normal
396,6.28,20.92,73.43,1.86,normal
397,5.88,23.35,86.29,1.47,normal
398,6.05,27.53,83.4,2.08,normal
399,6.22,20.08,82.26,2.31,normal
400,6.41,25.79,64.22,2.3,normal
401,6.17,21.14,60.41,1.82,normal
402,6.14,24.62,61.53,1.52,normal
403,6.04,25.83,82.83,2.25,normal
404,6.1,25.38,69.64,1.71,normal
405,5.57,18.86,48.19,1.12,warning
406,6.06,24.81,84.7,2.09,normal
407,5.92,23.44,64.99,2.29,normal
408,5.91,20.2,82.6,2.04,normal
409,5.85,23.28,70.89,2.08,normal
410,6.06,21.74,94.58,1.85,normal
411,5.9,23.88,60.96,1.91,normal
412,6.93,17.68,8.72,0.87,anomaly
413,6.0,27.2,64.06,2.36,normal
414,6.42,24.82,88.93,2.38,normal
415,6.47,23.12,73.49,1.74,normal
416,5.91,24.43,78.96,2.16,normal
417,6.63,19.35,46.51,1.11,warning
418,7.08,16.69,27.41,0.74,anomaly
419,6.5,27.04,81.82,1.97,normal
420,5.94,23.16,61.38,1.88,normal
421,5.96,27.71,91.83,2.12,normal
422,6.41,21.05,87.67,1.52,normal
423,6.85,30.85,58.64,1.19,warning
424,6.66,18.99,47.34,1.2,warning
425,6.2,26.92,94.33,1.81,normal
426,5.7,30.99,56.23,1.17,warning
427,6.53,18.49,51.91,1.36,warning
428,6.13,25.5,85.29,2.09,normal
429,6.01,22.87,88.16,1.68,normal
430,6.47,20.07,94.92,2.08,normal
431,5.51,18.65,42.71,1.29,warning
432,6.81,19.33,49.26,1.03,warning
433,6.08,20.53,72.21,1.51,normal
434,5.77,30.62,41.46,1.2,warning
435,6.53,19.35,44.42,1.11,warning
436,5.76,18.04,44.29,1.25,warning
437,5.16,17.2,23.6,0.72,anomaly
438,6.24,20.57,83.89,1.64,normal
439,6.82,19.07,54.73,1.11,warning
440,6.0,21.07,82.03,1.45,normal
441,6.51,30.17,53.43,1.02,warning
442,5.4,18.16,46.84,1.11,warning
443,5.52,29.32,47.17,1.38,warning
444,6.28,23.95,73.57,2.03,normal
445,5.4,28.63,54.46,1.37,warning
446,5.52,19.21,46.84,1.37,warning
447,6.1,23.66,67.31,1.77,normal
448,5.84,26.14,74.58,2.22,normal
449,5.48,29.98,52.88,1.24,warning
450,5.9,25.21,85.85,1.72,normal
451,6.08,25.71,66.97,2.29,normal
452,6.06,20.46,63.9,1.92,normal
453,6.38,20.12,73.27,1.74,normal
454,5.89,23.31,77.25,1.8,normal
455,6.22,20.08,76.24,2.36,normal
456,6.27,22.49,87.09,2.17,normal
457,6.48,21.0,60.59,2.17,normal
458,6.61,18.63,49.84,1.14,warning
459,5.8,22.4,82.63,2.37,normal
460,5.41,19.15,47.56,1.12,warning
461,5.96,21.97,76.94,2.15,normal
462,5.84,27.66,93.0,2.19,normal
463,7.38,31.69,14.07,0.57,anomaly
464,6.35,24.63,65.14,2.21,normal
465,6.07,25.39,69.1,1.75,normal
466,4.97,33.1,12.57,0.5,anomaly
467,6.11,21.07,93.53,1.93,normal
468,6.15,25.44,62.67,1.67,normal
469,5.58,29.73,48.47,1.08,warning
470,6.39,27.85,87.76,2.25,normal
471,6.47,21.58,93.3,2.39,normal
472,5.78,18.87,41.39,1.24,warning
473,4.91,16.03,24.17,0.98,anomaly
474,6.7,18.59,52.67,1.06,warning
475,6.34,23.99,60.42,1.41,normal
476,6.45,21.83,82.2,1.62,normal
477,6.39,25.83,63.34,1.83,normal
478,6.14,25.3,64.15,1.69,normal
479,6.44,27.95,61.57,2.16,normal
480,6.07,26.03,92.14,2.35,normal
481,6.05,26.3,68.79,1.96,normal
482,6.26,21.92,66.71,2.32,normal
483,6.15,21.77,61.36,1.44,normal
484,6.41,22.26,93.27,1.98,normal
485,6.21,24.13,86.56,1.68,normal
486,6.43,27.57,91.24,1.82,normal
487,6.7,28.84,46.3,1.33,warning
488,5.85,20.55,92.93,1.91,normal
489,6.37,26.69,71.63,2.09,normal
490,5.66,28.23,48.08,1.01,warning
491,6.34,20.0,74.58,1.92,normal
492,6.48,21.81,70.65,1.7,normal
493,5.8,25.83,93.84,1.62,normal
494,6.32,26.79,74.79,1.7,normal
495,6.3,26.53,66.36,1.77,normal
496,7.39,32.67,28.49,0.54,anomaly
497,6.3,21.34,87.32,1.98,normal
498,7.04,17.75,31.53,0.55,anomaly
499,6.16,22.95,92.65,2.23,normal
500,6.3,23.69,92.23,2.09,normal
501,5.74,28.51,46.38,1.38,warning
502,5.67,18.83,47.23,1.06,warning
503,5.69,28.46,53.37,1.38,warning
504,5.96,25.64,88.6,1.95,normal
505,4.83,31.44,32.8,0.77,anomaly
506,5.89,26.92,65.5,1.71,normal
507,6.41,25.38,87.88,1.65,normal
508,6.2,26.66,91.71,1.41,normal
509,5.84,24.39,70.07,1.71,normal
510,6.23,22.67,85.64,1.8,normal
511,6.35,22.29,75.15,2.09,normal
512,5.84,22.99,93.06,2.04,normal
513,6.24,21.59,74.64,2.15,normal
514,5.99,22.21,75.12,2.38,normal
515,6.16,21.43,93.97,1.51,normal
516,6.32,25.64,74.8,1.75,normal
517,5.98,21.64,76.91,1.67,normal
518,6.26,27.75,81.13,1.48,normal
519,6.47,22.38,63.22,2.0,normal
520,6.25,22.14,60.53,2.37,normal
521,6.27,25.65,81.35,1.71,normal
522,6.22,26.93,93.14,1.51,normal
523,6.46,25.89,90.9,1.6,normal
524,6.29,25.44,74.29,1.42,normal
525,5.98,23.6,93.52,1.8,normal
526,6.77,19.26,48.24,1.04,warning
527,5.76,19.55,40.17,1.23,warning
528,6.25,21.94,84.99,1.49,normal
529,6.41,25.91,60.48,1.65,normal
530,5.99,21.98,62.19,1.86,normal
531,6.77,29.07,55.3,1.32,warning
532,7.01,16.49,24.16,0.53,anomaly
533,6.44,24.68,78.84,1.67,normal
534,6.43,25.33,87.56,1.85,normal
535,5.97,25.64,74.97,1.84,normal
536,6.46,20.51,88.87,1.69,normal
537,5.82,22.41,77.59,1.46,normal
538,6.45,20.84,86.76,1.81,normal
539,5.98,21.28,65.62,1.47,normal
540,6.26,27.05,88.49,2.09,normal
541,6.0,22.48,68.75,1.92,normal
542,6.05,22.83,89.0,2.19,normal
543,6.44,27.62,71.44,1.75,normal
544,6.46,27.01,63.59,1.79,normal
545,6.15,21.55,90.06,2.08,normal
546,5.73,18.03,52.8,1.07,warning
547,5.96,20.94,65.78,1.4,normal
548,6.71,29.1,43.15,1.35,warning
549,6.05,20.84,67.78,1.92,normal
550,5.97,20.46,73.69,1.63,normal
551,6.47,24.93,79.49,1.82,normal
552,6.18,25.57,84.58,1.57,normal
553,6.09,26.96,82.1,1.93,normal
554,6.22,20.94,71.8,1.54,normal
555,5.94,23.13,91.35,1.6,normal
556,6.09,20.14,87.75,1.47,normal
557,6.19,25.03,84.1,1.65,normal
558,6.31,24.29,89.26,2.22,normal
559,5.59,19.01,56.24,1.34,warning
560,5.85,23.1,88.12,2.3,normal
561,5.85,27.02,73.63,1.94,normal
562,4.84,32.59,21.44,0.99,anomaly
563,6.02,21.76,72.27,1.77,normal
564,6.06,23.71,85.3,2.06,normal
565,6.59,19.6,55.29,1.3,warning
566,5.85,26.13,80.43,2.18,normal
567,5.71,28.7,54.1,1.07,warning
568,6.42,26.0,91.79,2.16,normal
569,6.26,27.11,80.26,2.03,normal
570,6.13,25.73,69.48,1.6,normal
571,5.97,21.72,74.87,2.31,normal
572,5.93,20.62,84.37,1.78,normal
573,6.82,19.04,57.84,1.25,warning
574,5.99,21.53,84.31,1.62,normal
575,5.99,25.3,88.52,2.18,normal
576,5.47,28.54,40.59,1.1,warning
577,6.42,21.95,79.51,1.44,normal
578,6.03,27.18,91.08,1.73,normal
579,7.31,17.17,10.08,0.55,anomaly
580,7.28,16.96,15.49,0.52,anomaly
581,5.89,20.18,72.61,2.18,normal
582,6.02,25.23,68.12,1.41,normal
583,6.81,29.58,50.7,1.24,warning
584,5.63,30.23,53.44,1.15,warning
585,6.22,27.43,92.52,1.74,normal
586,5.95,27.97,94.34,2.05,normal
587,5.68,19.8,52.87,1.15,warning
588,4.9,33.93,16.53,0.58,anomaly
589,6.22,21.43,84.68,1.86,normal
590,6.39,21.36,60.67,2.18,normal
591,6.29,26.71,88.1,2.36,normal
592,6.14,23.22,65.38,1.97,normal
593,6.44,24.67,80.75,1.75,normal
594,5.82,23.39,62.96,2.01,normal
595,5.74,30.93,43.74,1.29,warning
596,6.36,27.98,61.05,2.3,normal
597,6.48,23.72,89.66,1.46,normal
598,5.85,27.8,88.59,2.25,normal
599,7.1,16.21,22.54,0.63,anomaly
600,5.92,21.18,94.06,2.16,normal
601,7.05,15.6,15.21,0.56,anomaly
602,6.05,25.39,62.19,1.61,normal
603,5.46,28.89,49.21,1.12,warning
604,6.36,21.1,80.32,1.91,normal
605,6.24,22.19,77.07,1.48,normal
606,6.01,26.58,61.99,1.82,normal
607,6.31,24.59,83.35,2.18,normal
608,5.52,30.32,47.06,1.08,warning
609,6.32,23.94,76.91,2.24,normal
610,6.4,23.25,71.49,1.85,normal
611,5.45,19.55,51.01,1.19,warning
612,5.96,24.42,73.03,2.06,normal
613,6.2,21.48,69.75,1.62,normal
614,6.38,22.29,92.45,2.37,normal
615,5.9,23.0,87.92,1.77,normal
616,6.19,26.76,87.86,1.58,normal
617,5.95,21.75,90.59,1.65,normal
618,5.8,26.97,87.74,2.03,normal
619,5.46,28.95,57.49,1.02,warning
620,5.95,21.91,91.8,1.87,normal
621,6.33,21.24,77.05,1.83,normal
622,6.5,26.16,73.93,2.23,normal
623,5.82,21.64,71.91,1.91,normal
624,6.44,24.08,77.54,1.45,normal
625,6.19,23.51,89.37,1.56,normal
626,6.11,21.9,61.74,2.12,normal
627,6.23,22.25,66.07,1.78,normal
628,5.55,28.71,52.87,1.22,warning
629,5.03,32.35,32.03,0.61,anomaly
630,5.82,27.69,83.38,2.33,normal
631,6.23,25.43,71.11,2.25,normal
632,7.27,17.65,8.32,0.85,anomaly
633,6.9,28.51,48.41,1.1,warning
634,6.38,27.48,66.5,1.77,normal
635,6.96,17.06,38.01,0.72,anomaly
636,5.97,23.77,83.17,2.15,normal
637,5.63,18.22,40.13,1.08,warning
638,6.09,23.22,90.96,2.3,normal
639,4.99,16.28,18.61,0.71,anomaly
640,5.45,30.08,45.7,1.23,warning
641,5.92,20.93,79.13,2.3,normal
642,6.31,25.27,92.6,2.22,normal
643,6.26,27.19,73.98,1.73,normal
644,6.38,26.41,63.66,1.98,normal
645,5.88,27.84,67.51,1.47,normal
646,6.32,20.26,83.06,1.93,normal
647,5.92,24.54,70.37,2.34,normal
648,5.78,28.8,40.96,1.02,warning
649,6.12,21.81,81.49,1.65,normal
650,6.05,26.59,88.72,1.88,normal
651,6.05,26.45,71.49,1.61,normal
652,6.13,23.86,89.43,1.62,normal
653,6.37,26.59,73.46,1.86,normal
654,6.45,20.95,92.68,2.08,normal
655,5.82,23.8,74.27,1.56,normal
656,6.48,24.5,85.02,1.47,normal
657,5.88,24.9,92.85,2.06,normal
658,6.05,24.41,74.11,2.23,normal
